customerID;gender;tenure;MultipleLines;MonthlyCharges;StreamingTV;DeviceProtection;Contract;Churn
2928-HLDBA;Female;6;Yes;20.7;No internet service;No internet service;Month-to-month;No
0404-SWRVG;Male;3;Yes;74.4;No;No;Month-to-month;Yes
6497-TILVL;Female;7;No;50.7;No;No;Month-to-month;No
7219-TLZHO;Female;4;Yes;20.85;No internet service;No internet service;Month-to-month;No
4622-YNKIJ;Male;33;No;88.95;Yes;No;Two year;No
4412-YLTKF;Female;27;Yes;78.05;No;Yes;Month-to-month;Yes
6734-PSBAW;Male;72;Yes;23.55;No internet service;No internet service;Two year;No
3930-ZGWVE;Male;1;Yes;19.75;No internet service;No internet service;Month-to-month;No
2639-UGMAZ;Male;71;No phone service;56.45;Yes;No;One year;No
2876-GZYZC;Female;13;Yes;85.95;No;No;Month-to-month;No
6207-WIOLX;Female;25;No phone service;58.6;Yes;Yes;Month-to-month;Yes
8587-XYZSF;Male;67;Yes;50.55;No;No;Two year;No
3091-FYHKI;Male;1;No phone service;;No;No;Month-to-month;Yes
2372-HWUHI;Male;2;No;44.35;No;No;Month-to-month;Yes
7799-LGRDP;Female;43;Yes;25.7;No internet service;No internet service;Two year;No
7850-VWJUU;Female;23;No;75;No;No;Month-to-month;No
3774-VBNXY;Female;64;No;20.2;No internet service;No internet service;Two year;No
6217-KDYWC;Male;57;No;19.6;No internet service;No internet service;Two year;No
0390-DCFDQ;Female;1;No;70.45;No;No;Month-to-month;Yes
3146-MSEGF;Female;72;Yes;88.05;Yes;Yes;Two year;No
4080-OGPJL;Female;8;Yes;71.15;No;No;Month-to-month;Yes
1095-WGNGG;Female;61;Yes;101.05;Yes;No;Two year;No
2636-SJDOU;Male;64;Yes;84.3;No;No;One year;No
1131-QQZEB;Male;71;Yes;23.95;No internet service;No internet service;Two year;No
5716-EZXZN;Female;65;Yes;99.05;Yes;No;Two year;No
6837-BJYDQ;Male;3;No;19.6;No internet service;No internet service;One year;No
2135-RXIHG;Male;1;No;45.65;No;No;Month-to-month;Yes
6440-DKQGE;Male;30;No;64.5;Yes;Yes;One year;No
3466-BYAVD;Male;15;No;69.5;No;Yes;Month-to-month;No
3780-YVMFA;Female;6;No;68.55;Yes;No;Month-to-month;Yes
3874-EQOEP;Male;7;Yes;95;Yes;No;Month-to-month;Yes
1679-JRFBR;Female;70;Yes;108.15;Yes;Yes;One year;No
9073-ZZIAY;Male;62;No;86.1;Yes;Yes;Two year;No
3077-RSNTJ;Female;6;No;19.7;No internet service;No internet service;Month-to-month;No
6551-GNYDG;Female;14;No;80.9;No;No;Month-to-month;No
9167-APMXZ;Female;22;Yes;84.15;Yes;No;Month-to-month;No
2749-CTKAJ;Male;22;No;20.15;No internet service;No internet service;One year;No
6371-NZYEG;Male;16;No;64.25;Yes;Yes;Two year;No
7554-NEWDD;Male;10;Yes;25.7;No internet service;No internet service;Two year;No
8992-VONJD;Female;13;No;56;No;No;Month-to-month;No
0867-MKZVY;Female;20;Yes;82.4;No;No;Month-to-month;Yes
4482-EWFMI;Female;2;No;69.7;No;No;Month-to-month;Yes
4648-YPBTM;Male;53;Yes;73.9;No;Yes;Two year;No
2907-ILJBN;Female;11;No;20.6;No internet service;No internet service;One year;No
6345-FZOQH;Male;69;No;19.9;No internet service;No internet service;Two year;No
3376-BMGFE;Female;4;No;70.9;No;No;Month-to-month;Yes
5997-OPVFA;Male;72;Yes;89.05;Yes;Yes;Two year;No
3445-HXXGF;Male;58;No phone service;45.3;No;Yes;Month-to-month;Yes
1159-WFSGR;Female;16;No;20.4;No internet service;No internet service;Month-to-month;No
7654-YWJUF;Male;43;No;84.25;No;Yes;One year;No
1875-QIVME;Female;2;Yes;104.4;Yes;Yes;Month-to-month;Yes
6727-IOTLZ;Male;14;No;81.95;Yes;Yes;Two year;No
0691-JVSYA;Female;53;No;94.85;Yes;Yes;One year;Yes
5918-VUKWP;Female;32;No;20.55;No internet service;No internet service;One year;No
1744-JHKYS;Female;34;Yes;24.7;No internet service;No internet service;Month-to-month;No
2656-FMOKZ;Female;15;Yes;74.45;No;No;Month-to-month;Yes
2070-FNEXE;Female;7;No;76.45;No;No;Month-to-month;Yes
5947-SGKCL;Female;15;Yes;105.35;Yes;Yes;Month-to-month;No
3712-PKXZA;Male;61;No;20.55;No internet service;No internet service;One year;No
6317-YPKDH;Female;1;No phone service;29.95;No;No;Month-to-month;Yes
6582-OIVSP;Female;1;No;45.3;No;No;Month-to-month;No
9367-WXLCH;Male;8;Yes;84.5;No;No;Month-to-month;Yes
5524-KHNJP;Male;33;No;74.75;Yes;Yes;One year;No
1918-ZBFQJ;Female;13;No;79.25;No;Yes;Month-to-month;Yes
1024-GUALD;Female;1;No phone service;24.8;No;No;Month-to-month;Yes
4827-USJHP;Male;20;No;51.8;No;No;Month-to-month;No
8167-GJLRN;Male;3;No phone service;30.4;No;No;Month-to-month;No
0956-SYCWG;Female;13;No;19.65;No internet service;No internet service;One year;No
8017-UVSZU;Female;40;Yes;56.6;No;No;Month-to-month;No
7100-FQPRV;Male;43;Yes;71.9;No;No;One year;No
2472-OVKUP;Male;6;No;91;No;Yes;Month-to-month;Yes
2984-RGEYA;Female;69;No;19.75;No internet service;No internet service;Two year;No
9680-NIAUV;Female;72;Yes;109.7;Yes;Yes;Two year;No
2146-EGVDT;Male;59;No;19.3;No internet service;No internet service;Two year;No
2604-IJPDU;Female;20;No;96.55;Yes;No;Month-to-month;No
9178-JHUVJ;Male;24;Yes;24.1;No internet service;No internet service;Two year;No
6168-YBYNP;Male;59;Yes;111.35;Yes;Yes;Month-to-month;No
7255-SSFBC;Male;72;Yes;112.25;Yes;Yes;Two year;No
3645-DEYGF;Male;1;No;20.75;No internet service;No internet service;Month-to-month;No
9323-HGFWY;Female;27;No;101.9;Yes;No;One year;No
8544-GOQSH;Female;14;No;80.05;No;No;Month-to-month;No
3363-DTIVD;Male;71;Yes;105.55;Yes;Yes;Two year;No
7018-WBJNK;Male;13;No;78.3;Yes;No;Month-to-month;No
9142-KZXOP;Male;44;No;68.85;No;No;Month-to-month;No
7674-YTAFD;Female;33;No;79.95;No;No;One year;No
6348-SNFUS;Male;72;No phone service;55.45;No;Yes;Two year;No
1285-OKIPP;Male;1;No;79.9;No;No;Month-to-month;Yes
7825-ECJRF;Female;19;No;106.6;Yes;Yes;Month-to-month;Yes
1347-KTTTA;Male;64;No;102.45;Yes;Yes;One year;No
7841-TZDMQ;Male;2;No;46;No;No;Month-to-month;Yes
4195-NZGTA;Female;1;No phone service;25.25;No;No;Month-to-month;No
7157-SMCFK;Male;61;No;19.75;No internet service;No internet service;Two year;No
4709-LKHYG;Female;29;No;20;No internet service;No internet service;One year;No
2504-DSHIH;Male;23;Yes;86.8;No;No;Month-to-month;No
0699-NDKJM;Female;57;No phone service;58.75;Yes;Yes;Month-to-month;No
9286-BHDQG;Male;72;No phone service;45.25;No;Yes;Two year;No
0230-WEQUW;Male;66;No phone service;56.6;Yes;Yes;Two year;No
2040-LDIWQ;Male;65;Yes;84.2;Yes;Yes;Two year;No
6496-JDSSB;Female;6;No;80;Yes;No;Month-to-month;Yes
9408-SSNVZ;Female;4;No;70.15;No;No;Month-to-month;Yes
4443-EMBNA;Female;71;Yes;24.75;No internet service;No internet service;Two year;No
6469-MRVET;Male;1;No;20.2;No internet service;No internet service;One year;No
0742-MOABM;Male;4;No;50.05;No;No;Month-to-month;Yes
5961-VUSRV;Female;12;No;19.35;No internet service;No internet service;One year;No
6778-JFCMK;Male;24;No phone service;50.6;Yes;No;One year;No
6341-JVQGF;Female;31;No;81.15;Yes;Yes;One year;No
2232-DMLXU;Female;1;No;55.2;Yes;No;Month-to-month;Yes
4811-JBUVU;Male;30;Yes;89.9;No;No;Month-to-month;No
0945-TSONX;Female;47;Yes;85.3;Yes;No;Two year;No
2651-ZCBXV;Male;54;Yes;108;Yes;No;Two year;No
3316-UWXUY;Male;50;No;93.5;No;No;Month-to-month;No
8937-RDTHP;Male;1;No;84.6;No;No;Month-to-month;Yes
7083-MIOPC;Female;72;No;20.25;No internet service;No internet service;Two year;No
1984-GPTEH;Female;29;Yes;25.15;No internet service;No internet service;Month-to-month;No
1251-KRREG;Male;2;Yes;54.4;No;No;Month-to-month;Yes
0621-JFHOL;Female;10;No phone service;29.6;No;No;Two year;No
9903-LYSAB;Male;18;Yes;73.15;No;No;Month-to-month;No
0094-OIFMO;Female;11;No;95;Yes;No;Month-to-month;Yes
9227-UAQFT;Male;16;No;19.75;No internet service;No internet service;Two year;No
7301-ABVAD;Female;72;Yes;86.6;Yes;Yes;Two year;No
6614-FHDBO;Male;72;Yes;109.2;Yes;Yes;Two year;No
7576-ASEJU;Female;41;No;74.7;Yes;No;One year;No
9058-HRZSV;Female;65;No;94.4;No;Yes;Month-to-month;No
4522-AKYLR;Female;13;No;54.8;No;Yes;Month-to-month;No
0221-WMXNQ;Male;4;No;75.35;No;No;Month-to-month;Yes
0303-UNCIP;Male;41;Yes;65;No;Yes;One year;No
9947-OTFQU;Male;15;No;74.4;No;No;Month-to-month;Yes
0322-YINQP;Male;1;No;48.55;No;No;Month-to-month;Yes
0959-WHOKV;Male;42;Yes;99;No;Yes;One year;No
4075-JFPGR;Female;51;No;93.5;Yes;Yes;One year;No
4629-NRXKX;Female;2;No;70.4;No;No;Month-to-month;Yes
9514-JDSKI;Male;1;No phone service;40.2;Yes;No;Month-to-month;Yes
3282-ZISZV;Male;32;Yes;83.7;Yes;Yes;One year;No
3675-YDUPJ;Male;10;No;19.85;No internet service;No internet service;Month-to-month;No
4111-BNXIF;Female;67;No phone service;59.55;Yes;Yes;Two year;No
7017-VFHAY;Female;61;Yes;115.1;Yes;Yes;Two year;No
6655-LHBYW;Male;50;Yes;114.35;Yes;Yes;One year;No
4959-JOSRX;Female;2;No;44.6;No;No;Month-to-month;Yes
5046-NUHWD;Female;29;No phone service;45;No;Yes;Month-to-month;No
7273-TEFQD;Male;3;No phone service;41.15;No;Yes;Month-to-month;Yes
3606-TWKGI;Male;13;Yes;106.9;Yes;Yes;Month-to-month;Yes
7529-ZDFXI;Male;57;Yes;89.85;No;No;Month-to-month;No
7605-BDWDC;Female;31;No phone service;49.85;No;No;Two year;No
1950-KSVVJ;Female;45;Yes;113.3;Yes;Yes;One year;No
0123-CRBRT;Female;61;Yes;88.1;Yes;Yes;Two year;No
6292-TOSSS;Male;50;Yes;24.9;No internet service;No internet service;Two year;No
3197-ARFOY;Female;19;No;105;Yes;No;Month-to-month;No
6323-AYBRX;Male;59;No;19.35;No internet service;No internet service;Two year;Yes
7014-ZZXAW;Female;71;Yes;24.25;No internet service;No internet service;Two year;No
4385-GZQXV;Female;16;No;94.45;Yes;No;Month-to-month;Yes
7633-MVPUY;Male;57;No;59.75;No;No;Two year;No
6366-ZGQGL;Male;1;No phone service;24.8;No;No;Month-to-month;Yes
4716-HHKQH;Male;20;Yes;107.05;Yes;No;Month-to-month;No
5940-AHUHD;Male;1;No;70.6;No;No;Month-to-month;Yes
6432-TWQLB;Male;5;Yes;85.4;No;No;Month-to-month;Yes
4484-GLZOU;Female;52;Yes;105.05;Yes;Yes;Month-to-month;Yes
3179-GBRWV;Male;21;No;64.95;No;No;Month-to-month;No
8645-KWHJO;Male;14;No phone service;55;Yes;Yes;Month-to-month;No
4130-MZLCC;Female;5;No;50.55;No;No;Month-to-month;No
0314-TKOSI;Female;6;No;55.15;No;No;Month-to-month;No
8229-MYEJZ;Female;10;No;51.2;No;No;Month-to-month;No
2080-SRCDE;Female;1;Yes;25.4;No internet service;No internet service;Month-to-month;No
9577-WJVCQ;Female;68;Yes;54.45;No;No;Month-to-month;No
9512-UIBFX;Male;18;No;95.15;Yes;Yes;Month-to-month;Yes
6202-DYYFX;Female;22;Yes;76;No;No;One year;No
3808-HFKDE;Female;20;No;44.35;No;No;Month-to-month;No
5583-SXDAG;Male;1;No;70;No;No;Month-to-month;Yes
3488-PGMQJ;Male;8;No;74.5;No;No;Month-to-month;Yes
3580-REOAC;Male;10;No;44.85;No;No;Month-to-month;Yes
7534-BFESC;Male;24;Yes;76.1;No;No;Month-to-month;Yes
3727-OWVYD;Male;35;No;61.2;No;Yes;One year;No
2294-SALNE;Male;23;No;86.8;No;Yes;One year;No
4847-TAJYI;Female;6;No;89.35;Yes;No;Month-to-month;Yes
1563-IWQEX;Female;12;No;19.7;No internet service;No internet service;Month-to-month;No
8203-XJZRC;Male;1;No;20.25;No internet service;No internet service;Month-to-month;No
6556-DBKZF;Female;71;No;76.05;No;Yes;Two year;No
6851-WEFYX;Male;35;Yes;100.8;Yes;Yes;Month-to-month;No
2985-JUUBZ;Male;40;Yes;74.55;Yes;Yes;Month-to-month;No
6390-DSAZX;Female;1;No;73.6;No;No;Month-to-month;Yes
0895-LMRSF;Male;23;No;64.9;Yes;No;One year;No
8098-LLAZX;Female;4;Yes;95.45;Yes;No;Month-to-month;Yes
8266-VBFQL;Male;4;No;90.4;No;Yes;Month-to-month;Yes
8181-YHCMF;Female;68;No phone service;60.3;Yes;Yes;Two year;No
2240-HSJQD;Male;38;Yes;81.85;No;No;Month-to-month;No
1248-DYXUB;Male;52;Yes;24.8;No internet service;No internet service;Two year;No
0265-EDXBD;Male;32;Yes;74.9;No;No;Month-to-month;Yes
4115-BNPJY;Male;29;No;75.55;Yes;Yes;Two year;No
3167-SNQPL;Male;38;Yes;101.15;Yes;No;Month-to-month;No
4091-TVOCN;Male;48;Yes;78.75;Yes;Yes;One year;No
1098-TDVUQ;Female;1;No;19.25;No internet service;No internet service;Month-to-month;No
7277-OZCGZ;Female;22;No;89.05;No;No;Month-to-month;No
1557-EMYVT;Female;43;Yes;115.05;Yes;Yes;Two year;No
2799-ARNLO;Female;5;No;69.35;No;No;Month-to-month;Yes
7563-BIUPC;Male;5;No;80.6;Yes;No;Month-to-month;Yes
5027-YOCXN;Male;51;Yes;110.05;Yes;No;One year;No
3973-SKMLN;Male;71;No;19.9;No internet service;No internet service;Two year;No
2321-OMBXY;Female;38;No;80.3;Yes;No;One year;Yes
2840-XANRC;Male;24;No;93.15;Yes;Yes;Month-to-month;Yes
6745-JEFZB;Male;35;Yes;91.5;Yes;No;Month-to-month;No
5020-ZSTTY;Female;54;Yes;82.45;Yes;No;One year;Yes
9880-TDQAC;Female;72;No phone service;60;Yes;Yes;Two year;No
8705-WZCYL;Male;1;No;44.8;No;No;Month-to-month;No
7102-JJVTX;Female;9;No;48.6;No;No;One year;No
8626-PTQGE;Male;69;No phone service;60.05;Yes;No;Two year;No
4983-CLMLV;Female;52;Yes;102.7;Yes;No;Month-to-month;No
5701-YVSVF;Female;9;No;82.9;Yes;No;Month-to-month;Yes
5804-LEPIM;Female;2;No;70.35;No;No;Month-to-month;Yes
5697-GOMBF;Female;28;No phone service;35.9;Yes;No;Month-to-month;No
2739-CACDQ;Female;17;Yes;82.65;No;Yes;Month-to-month;No
9385-EHGDO;Female;35;No;19.85;No internet service;No internet service;Two year;No
9498-FIMXL;Female;8;No;19.2;No internet service;No internet service;One year;No
2379-GYFLQ;Male;46;Yes;94.9;Yes;Yes;One year;No
0122-OAHPZ;Female;7;Yes;73.85;No;No;Month-to-month;Yes
2868-SNELZ;Female;2;Yes;80.6;No;Yes;Month-to-month;Yes
4322-RCYMT;Male;68;Yes;75.8;No;Yes;One year;Yes
6680-NENYN;Female;43;Yes;104.6;Yes;Yes;Two year;Yes
2088-IEBAU;Female;68;Yes;88.15;Yes;Yes;Two year;No
7982-VCELR;Female;36;No;94.8;Yes;No;Month-to-month;No
1343-EHPYB;Male;63;Yes;103.4;Yes;Yes;Month-to-month;Yes
6035-BXTTY;Female;32;No;54.65;No;No;Month-to-month;No
6885-PKOAM;Female;71;Yes;85.75;Yes;Yes;Two year;No
7520-HQWJU;Female;66;Yes;67.45;No;Yes;Month-to-month;No
9639-BUJXT;Male;63;No;20.5;No internet service;No internet service;One year;No
5924-SNGKP;Female;41;No;20.25;No internet service;No internet service;One year;No
0021-IKXGC;Female;1;Yes;72.1;No;No;Month-to-month;No
2034-GDRCN;Female;2;No;90.4;Yes;No;Month-to-month;Yes
8966-SNIZF;Female;70;No;19.45;No internet service;No internet service;Two year;No
6243-OZGFH;Female;23;No phone service;44.95;Yes;No;Month-to-month;No
4654-DLAMQ;Female;64;No;97;No;Yes;One year;No
0513-RBGPE;Male;37;Yes;62.8;No;Yes;Two year;No
5160-UXJED;Male;17;No;44.6;No;No;One year;No
4115-NZRKS;Female;7;No;89.15;Yes;No;Month-to-month;No
0219-YTZUE;Male;4;Yes;84.8;No;Yes;Month-to-month;Yes
0623-IIHUG;Female;21;No phone service;41.9;Yes;No;Month-to-month;Yes
4572-DVCGN;Female;10;No;80.25;No;No;Month-to-month;Yes
3351-NGXYI;Female;16;Yes;54.1;No;No;Month-to-month;No
8984-EYLLL;Male;64;Yes;105.25;Yes;No;Two year;No
9057-MSWCO;Male;27;No phone service;30.75;No;No;Month-to-month;Yes
9833-TGFHX;Male;42;Yes;97.1;Yes;No;One year;No
9294-TDIPC;Male;5;No;20.2;No internet service;No internet service;Month-to-month;No
5229-DTFYB;Female;41;No;98.8;Yes;No;Two year;No
0104-PPXDV;Male;58;No;50.3;No;Yes;One year;No
5176-LMJXE;Female;47;No;20.55;No internet service;No internet service;Two year;No
